texto,classe
"produto excelente","positivo"
"muito bom","positivo"
"adorei esse produto","positivo"
"qualidade incrível","positivo"
"funciona perfeitamente","positivo"
"produto maravilhoso","positivo"
"entrega rápida","positivo"
"muito satisfeito","positivo"
"ótimo custo benefício","positivo"
"super recomendo","positivo"
"amei a qualidade","positivo"
"notebook muito rápido","positivo"
"produto premium","positivo"
"excelente desempenho","positivo"
"melhor compra que fiz","positivo"

"produto horrível","negativo"
"péssima qualidade","negativo"
"odiei esse produto","negativo"
"veio quebrado","negativo"
"muito ruim","negativo"
"travando bastante","negativo"
"não funciona","negativo"
"dinheiro perdido","negativo"
"produto péssimo","negativo"
"muito decepcionado","negativo"
"bateria horrível","negativo"
"super lento","negativo"
"qualidade muito ruim","negativo"
"não gostei","negativo"
"problema o tempo todo","negativo"

"produto normal","neutro"
"nada demais","neutro"
"funciona como esperado","neutro"
"produto ok","neutro"
"razoável","neutro"
"mais ou menos","neutro"
"cumpre o que promete","neutro"
"sem novidades","neutro"
"mediano","neutro"
"não achei especial","neutro"
